date;time;woj;newc;newd;totalc;totald
2020-04-10;17:02;kujawsko-pomorskie;10;1;290;7
2020-04-10;17:02;lubelskie;17;1;221;9
2020-04-10;17:02;lubuskie;5;0;74;
2020-04-10;17:02;mazowieckie;77;0;1501;41
2020-04-10;17:02;małopolskie;20;1;452;9
2020-04-10;17:02;opolskie;5;0;130;6
2020-04-10;17:02;podkarpackie;15;0;211;10
2020-04-10;17:02;podlaskie;21;0;189;2
2020-04-10;17:02;pomorskie;4;0;157;1
2020-04-10;17:02;warmińsko-mazurskie;15;0;110;1
2020-04-10;17:02;wielkopolskie;46;2;477;26
2020-04-10;17:02;zachodniopomorskie;10;0;184;2
2020-04-10;17:02;łódzkie;31;0;463;7
2020-04-10;17:02;śląskie;34;0;729;38
2020-04-10;17:02;świętokrzyskie;1;0;130;2
2020-04-11;17:31;Polska;401;27;6356;208
2020-04-11;17:31;dolnośląskie;23;2;660;22
2020-04-11;17:31;kujawsko-pomorskie;23;0;313;7
2020-04-11;17:31;lubelskie;4;1;225;10
2020-04-11;17:31;lubuskie;2;0;76;
2020-04-11;17:31;mazowieckie;128;12;1629;53
2020-04-11;17:31;małopolskie;34;1;486;10
2020-04-11;17:31;opolskie;13;0;143;6
2020-04-11;17:31;podkarpackie;9;1;220;11
2020-04-11;17:31;podlaskie;6;0;195;2
2020-04-11;17:31;pomorskie;6;0;163;1
2020-04-11;17:31;warmińsko-mazurskie;1;0;111;1
2020-04-11;17:31;wielkopolskie;58;5;535;31
2020-04-11;17:31;zachodniopomorskie;7;0;191;2
2020-04-11;17:31;łódzkie;29;0;492;7
2020-04-11;17:31;śląskie;52;5;781;43
2020-04-11;17:31;świętokrzyskie;6;0;136;2
2020-04-12;17:00;Polska;318;24;6674;232
2020-04-12;17:00;dolnośląskie;37;1;697;23
2020-04-12;17:00;kujawsko-pomorskie;23;0;336;7
2020-04-12;17:00;lubelskie;9;0;234;10
2020-04-12;17:00;lubuskie;2;0;78;
2020-04-12;17:00;mazowieckie;35;16;1664;69
2020-04-12;17:00;małopolskie;19;1;505;11
2020-04-12;17:00;opolskie;8;1;151;7
2020-04-12;17:00;podkarpackie;1;0;221;11
2020-04-12;17:00;podlaskie;27;0;222;2
2020-04-12;17:00;pomorskie;8;0;171;1
2020-04-12;17:00;warmińsko-mazurskie;11;0;122;1
2020-04-12;17:00;wielkopolskie;29;4;564;35
2020-04-12;17:00;zachodniopomorskie;2;0;193;2
2020-04-12;17:00;łódzkie;37;0;529;7
2020-04-12;17:00;śląskie;65;1;846;44
2020-04-12;17:00;świętokrzyskie;5;0;141;2
2020-04-13;17:00;Polska;260;13;6934;245
2020-04-13;17:00;dolnośląskie;12;1;709;24
2020-04-13;17:00;kujawsko-pomorskie;9;0;345;7
2020-04-13;17:00;lubelskie;6;0;240;10
2020-04-13;17:00;lubuskie;0;0;78;
2020-04-13;17:00;mazowieckie;24;1;1688;70
2020-04-13;17:00;małopolskie;14;1;519;12
2020-04-13;17:00;opolskie;20;0;171;7
2020-04-13;17:00;podkarpackie;4;2;225;13
2020-04-13;17:00;podlaskie;16;0;238;2
2020-04-13;17:00;pomorskie;4;0;175;1
2020-04-13;17:00;warmińsko-mazurskie;0;0;122;1
2020-04-13;17:00;wielkopolskie;86;5;650;40
2020-04-13;17:00;zachodniopomorskie;10;0;203;2
2020-04-13;17:00;łódzkie;22;0;551;7
2020-04-13;17:00;śląskie;33;3;879;47
2020-04-13;17:00;świętokrzyskie;0;0;141;2
2020-04-14;18:00;Polska;268;18;7202;263
2020-04-14;18:00;dolnośląskie;14;1;723;25
2020-04-14;18:00;kujawsko-pomorskie;7;2;352;9
2020-04-14;18:00;lubelskie;5;0;245;10
2020-04-14;18:00;lubuskie;1;0;79;
2020-04-14;18:00;mazowieckie;27;5;1715;75
2020-04-14;18:00;małopolskie;18;1;537;13
2020-04-14;18:00;opolskie;35;0;206;7
2020-04-14;18:00;podkarpackie;9;0;234;13
2020-04-14;18:00;podlaskie;18;0;256;2
2020-04-14;18:00;pomorskie;0;0;175;1
2020-04-14;18:00;warmińsko-mazurskie;0;0;122;1
2020-04-14;18:00;wielkopolskie;33;3;683;43
2020-04-14;18:00;zachodniopomorskie;8;0;211;2
