2020-07-06;pomorskie;T;108884
2020-07-06;warmińsko-mazurskie;T;42111
2020-07-06;podlaskie;T;42168
2020-07-06;kujawsko-pomorskie;T;73929
2020-07-06;mazowieckie;T;397618
2020-07-06;lubelskie;T;64459
2020-07-06;świętokrzyskie;T;32931
2020-07-06;podkarpackie;T;30397
2020-07-13;zachodniopomorskie;T;56438
2020-07-13;wielkopolskie;T;173502
2020-07-13;lubuskie;T;21572
2020-07-13;łódzkie;T;104426
2020-07-13;dolnośląskie;T;139223
2020-07-13;opolskie;T;14878
2020-07-13;śląskie;T;182812
2020-07-13;małopolskie;T;137004
2020-07-13;Polska;T;1681224
2020-07-13;pomorskie;T;116754
2020-07-13;warmińsko-mazurskie;T;45173
2020-07-13;podlaskie;T;45844
2020-07-13;kujawsko-pomorskie;T;80281
2020-07-13;mazowieckie;T;422721
2020-07-13;lubelskie;T;70625
2020-07-13;świętokrzyskie;T;36882
2020-07-13;podkarpackie;T;33089
2020-07-20;zachodniopomorskie;T;62753
2020-07-20;wielkopolskie;T;184341
2020-07-20;lubuskie;T;23414
2020-07-20;łódzkie;T;113996
2020-07-20;dolnośląskie;T;148743
2020-07-20;opolskie;T;16068
2020-07-20;śląskie;T;196375
2020-07-20;małopolskie;T;148726
2020-07-20;Polska;T;1807329
2020-07-20;pomorskie;T;126268
2020-07-20;warmińsko-mazurskie;T;47992
2020-07-20;podlaskie;T;48989
2020-07-20;kujawsko-pomorskie;T;86816
2020-07-20;mazowieckie;T;448231
2020-07-20;lubelskie;T;76710
2020-07-20;świętokrzyskie;T;41307
2020-07-20;podkarpackie;T;36600
2020-07-27;zachodniopomorskie;T;69404
2020-07-27;wielkopolskie;T;194131
2020-07-27;lubuskie;T;25020
2020-07-27;łódzkie;T;123532
2020-07-27;dolnośląskie;T;158614
2020-07-27;opolskie;T;17292
2020-07-27;śląskie;T;209437
2020-07-27;małopolskie;T;163298
2020-07-27;Polska;T;1933983
2020-07-27;pomorskie;T;135924
2020-07-27;warmińsko-mazurskie;T;51060
2020-07-27;podlaskie;T;51586
2020-07-27;kujawsko-pomorskie;T;93765
2020-07-27;mazowieckie;T;473511
2020-07-27;lubelskie;T;81723
2020-07-27;świętokrzyskie;T;46263
2020-07-27;podkarpackie;T;39423
2020-08-03;zachodniopomorskie;T;76638
2020-08-03;wielkopolskie;T;206012
2020-08-03;lubuskie;T;26590
2020-08-03;łódzkie;T;133654
2020-08-03;dolnośląskie;T;169281
2020-08-03;opolskie;T;18712
