date;woj;typ;tests
2020-06-15;małopolskie;T;94502
2020-06-15;małopolskie;N;9565
2020-06-15;opolskie;T;9584
2020-06-15;opolskie;N;1115
2020-06-15;podkarpackie;T;22841
2020-06-15;podkarpackie;N;2010
2020-06-15;podlaskie;T;30320
2020-06-15;podlaskie;N;3594
2020-06-15;pomorskie;T;79301
2020-06-15;pomorskie;N;7818
2020-06-15;warmińsko-mazurskie;T;31235
2020-06-15;warmińsko-mazurskie;N;2066
2020-06-15;wielkopolskie;T;131753
2020-06-15;wielkopolskie;N;13059
2020-06-15;zachodniopomorskie;T;33600
2020-06-15;zachodniopomorskie;N;4405
2020-06-15;łódzkie;T;64067
2020-06-15;łódzkie;N;8557
2020-06-15;śląskie;T;118400
2020-06-15;śląskie;N;15210
2020-06-15;świętokrzyskie;T;23441
2020-06-15;świętokrzyskie;N;2511
2020-06-22;Polska;T;1290266
2020-06-22;Polska;N;136821
2020-06-22;dolnośląskie;T;101941
2020-06-22;dolnośląskie;N;11247
2020-06-22;kujawsko-pomorskie;T;60254
2020-06-22;kujawsko-pomorskie;N;6173
2020-06-22;lubelskie;T;53205
2020-06-22;lubelskie;N;5785
2020-06-22;lubuskie;T;17069
2020-06-22;lubuskie;N;1445
2020-06-22;mazowieckie;T;340305
2020-06-22;mazowieckie;N;33723
2020-06-22;małopolskie;T;105332
2020-06-22;małopolskie;N;10830
2020-06-22;opolskie;T;10923
2020-06-22;opolskie;N;1339
2020-06-22;podkarpackie;T;25180
2020-06-22;podkarpackie;N;2339
2020-06-22;podlaskie;T;34230
2020-06-22;podlaskie;N;3910
2020-06-22;pomorskie;T;89653
2020-06-22;pomorskie;N;10352
2020-06-22;warmińsko-mazurskie;T;35435
2020-06-22;warmińsko-mazurskie;N;4200
2020-06-22;wielkopolskie;T;142083
2020-06-22;wielkopolskie;N;10330
2020-06-22;zachodniopomorskie;T;39373
2020-06-22;zachodniopomorskie;N;5773
2020-06-22;łódzkie;T;74727
2020-06-22;łódzkie;N;10660
2020-06-22;śląskie;T;134303
2020-06-22;śląskie;N;15903
2020-06-22;świętokrzyskie;T;26253
2020-06-22;świętokrzyskie;N;2812
2020-06-29;Polska;T;1413882
2020-06-29;Polska;N;123616
2020-06-29;dolnośląskie;T;109854
2020-06-29;dolnośląskie;N;7913
2020-06-29;kujawsko-pomorskie;T;67373
2020-06-29;kujawsko-pomorskie;N;7119
2020-06-29;lubelskie;T;59374
2020-06-29;lubelskie;N;6169
2020-06-29;lubuskie;T;18251
2020-06-29;lubuskie;N;1182
2020-06-29;mazowieckie;T;368593
2020-06-29;mazowieckie;N;28288
2020-06-29;małopolskie;T;115419
2020-06-29;małopolskie;N;10087
2020-06-29;opolskie;T;12345
2020-06-29;opolskie;N;1422
2020-06-29;podkarpackie;T;28041
2020-06-29;podkarpackie;N;2861
2020-06-29;podlaskie;T;38236
2020-06-29;podlaskie;N;4006
2020-06-29;pomorskie;T;99302
2020-06-29;pomorskie;N;9649
2020-06-29;warmińsko-mazurskie;T;39032
2020-06-29;warmińsko-mazurskie;N;3597
2020-06-29;wielkopolskie;T;150721
2020-06-29;wielkopolskie;N;8638
2020-06-29;zachodniopomorskie;T;45226
2020-06-29;zachodniopomorskie;N;5853
2020-06-29;łódzkie;T;84616
2020-06-29;łódzkie;N;9889
2020-06-29;śląskie;T;148096
2020-06-29;śląskie;N;13793
2020-06-29;świętokrzyskie;T;29403
2020-06-29;świętokrzyskie;N;3150
2020-07-06;Polska;T;1546362
2020-07-06;Polska;N;132480
2020-07-06;dolnośląskie;T;117584
2020-07-06;dolnośląskie;N;7730
2020-07-06;kujawsko-pomorskie;T;73929
2020-07-06;kujawsko-pomorskie;N;6556
2020-07-06;lubelskie;T;64459
2020-07-06;lubelskie;N;5085
2020-07-06;lubuskie;T;19936
2020-07-06;lubuskie;N;1685
2020-07-06;mazowieckie;T;397618
2020-07-06;mazowieckie;N;29025
2020-07-06;małopolskie;T;126083
2020-07-06;małopolskie;N;10664
2020-07-06;opolskie;T;13656
2020-07-06;opolskie;N;1311
2020-07-06;podkarpackie;T;30397
2020-07-06;podkarpackie;N;2356
2020-07-06;podlaskie;T;42168
2020-07-06;podlaskie;N;3932
2020-07-06;pomorskie;T;108884
2020-07-06;pomorskie;N;9582
2020-07-06;warmińsko-mazurskie;T;42111
2020-07-06;warmińsko-mazurskie;N;3079
2020-07-06;wielkopolskie;T;162336
2020-07-06;wielkopolskie;N;11615
2020-07-06;zachodniopomorskie;T;50681
2020-07-06;zachodniopomorskie;N;5455
2020-07-06;łódzkie;T;93977
2020-07-06;łódzkie;N;9361
2020-07-06;śląskie;T;169612
2020-07-06;śląskie;N;21516
2020-07-06;świętokrzyskie;T;32931
2020-07-06;świętokrzyskie;N;3528
2020-07-13;Polska;T;1681224
2020-07-13;Polska;N;134862
2020-07-13;dolnośląskie;T;139223
2020-07-13;dolnośląskie;N;21639
2020-07-13;kujawsko-pomorskie;T;80281
2020-07-13;kujawsko-pomorskie;N;6352
2020-07-13;lubelskie;T;70625
2020-07-13;lubelskie;N;6166
2020-07-13;lubuskie;T;21572
2020-07-13;lubuskie;N;1636
2020-07-13;mazowieckie;T;422721
2020-07-13;mazowieckie;N;25103
2020-07-13;małopolskie;T;137004
2020-07-13;małopolskie;N;10921
2020-07-13;opolskie;T;14878
2020-07-13;opolskie;N;1222
2020-07-13;podkarpackie;T;33089
2020-07-13;podkarpackie;N;2692
2020-07-13;podlaskie;T;45844
2020-07-13;podlaskie;N;3676
2020-07-13;pomorskie;T;116754
2020-07-13;pomorskie;N;7870
2020-07-13;warmińsko-mazurskie;T;45173
2020-07-13;warmińsko-mazurskie;N;3062
2020-07-13;wielkopolskie;T;173502
2020-07-13;wielkopolskie;N;11166
2020-07-13;zachodniopomorskie;T;56438
2020-07-13;zachodniopomorskie;N;5757
2020-07-13;łódzkie;T;104426
2020-07-13;łódzkie;N;10449
2020-07-13;śląskie;T;182812
2020-07-13;śląskie;N;13200
2020-07-13;świętokrzyskie;T;36882
2020-07-13;świętokrzyskie;N;3951
2020-07-20;Polska;T;1807329
2020-07-20;Polska;N;126105
2020-07-20;dolnośląskie;T;148743
2020-07-20;dolnośląskie;N;9520
