date;woj;typ;tests
2020-10-05;zachodniopomorskie;N;9541
2020-10-05;łódzkie;T;234136
2020-10-05;łódzkie;N;12604
2020-10-05;śląskie;T;404098
2020-10-05;śląskie;N;22448
2020-10-05;świętokrzyskie;T;86016
2020-10-05;świętokrzyskie;N;5944
2020-10-12;Polska;T;3693129
2020-10-12;Polska;N;226684
2020-10-12;dolnośląskie;T;289627
2020-10-12;dolnośląskie;N;17162
2020-10-12;kujawsko-pomorskie;T;200966
2020-10-12;kujawsko-pomorskie;N;16428
2020-10-12;lubelskie;T;152348
2020-10-12;lubelskie;N;10569
2020-10-12;lubuskie;T;45149
2020-10-12;lubuskie;N;2622
2020-10-12;mazowieckie;T;797777
2020-10-12;mazowieckie;N;33480
2020-10-12;małopolskie;T;333263
2020-10-12;małopolskie;N;19326
2020-10-12;opolskie;T;38034
2020-10-12;opolskie;N;2372
2020-10-12;podkarpackie;T;68011
2020-10-12;podkarpackie;N;2422
2020-10-12;podlaskie;T;92525
2020-10-12;podlaskie;N;4926
2020-10-12;pomorskie;T;293779
2020-10-12;pomorskie;N;19842
2020-10-12;warmińsko-mazurskie;T;90948
2020-10-12;warmińsko-mazurskie;N;5412
2020-10-12;wielkopolskie;T;349583
2020-10-12;wielkopolskie;N;23665
2020-10-12;zachodniopomorskie;T;159676
2020-10-12;zachodniopomorskie;N;11265
2020-10-12;łódzkie;T;249864
2020-10-12;łódzkie;N;15728
2020-10-12;śląskie;T;436728
2020-10-12;śląskie;N;32630
2020-10-12;świętokrzyskie;T;94851
2020-10-12;świętokrzyskie;N;8835
2020-10-19;Polska;T;4011669
2020-10-19;Polska;N;318540
2020-10-19;dolnośląskie;T;313251
2020-10-19;dolnośląskie;N;23624
2020-10-19;kujawsko-pomorskie;T;220674
2020-10-19;kujawsko-pomorskie;N;19708
2020-10-19;lubelskie;T;167693
2020-10-19;lubelskie;N;15345
2020-10-19;lubuskie;T;48464
2020-10-19;lubuskie;N;3315
2020-10-19;mazowieckie;T;856252
2020-10-19;mazowieckie;N;58475
2020-10-19;małopolskie;T;358520
2020-10-19;małopolskie;N;25257
2020-10-19;opolskie;T;41440
2020-10-19;opolskie;N;3406
2020-10-19;podkarpackie;T;74896
2020-10-19;podkarpackie;N;6885
2020-10-19;podlaskie;T;103263
2020-10-19;podlaskie;N;10738
2020-10-19;pomorskie;T;311770
2020-10-19;pomorskie;N;17991
2020-10-19;warmińsko-mazurskie;T;98376
2020-10-19;warmińsko-mazurskie;N;7428
2020-10-19;wielkopolskie;T;381334
2020-10-19;wielkopolskie;N;31751
2020-10-19;zachodniopomorskie;T;176321
2020-10-19;zachodniopomorskie;N;16645
2020-10-19;łódzkie;T;272259
2020-10-19;łódzkie;N;22395
2020-10-19;śląskie;T;482953
2020-10-19;śląskie;N;46225
2020-10-19;świętokrzyskie;T;104203
2020-10-19;świętokrzyskie;N;9352
